id,year,majortopic,subtopic,description,filter_eu,var2,var3,var4_1,var4_2,var4_3,var4_4,var4_5,var4_6,var4_7,var4_8,var4_9,var4_10,var4_11,var4_12,var4_13,var4_14,var4_15,var4_16,var4_17,var4_21,var5_1,var5_2,var5_3,var5_4,var5_5,var5_6,var5_7,var5_8,var5_9,var5_10,var5_11,var5_12,var5_13,var5_14,var5_15,var5_16,var5_17,var5_18,var5_19,var5_20,var5_21,var5_22,var5_23,var5_24,var5_25,var5_26,var5_27,var5_28,var5_29,var5_30,var5_31,var5_32,var5_33,var5_35,var5_36,var5_37,var5_38,var5_39,var5_40,var5_41,var5_42,var6,var7,var8,var9_1,var9_2,var9_3,var9_4,var9_5,var9_6,var9_7,var9_8,var9_9,var9_10,var9_11,var9_12,var9_13,var9_14,var9_15,var9_16,var10_1,var10_2,var10_3,var10_4,var10_5,var10_6,var10_7,var10_8,var10_9,var10_10,var10_11,var10_12,var10_13,var10_14,var10_15,var10_16,var15,var16,var17,var18,var19,var23,calendar_year,var113,var14
1598,2005,20,2001,Om det kommunale selvstyre og om den økonomi der stilles til rådighed,0,48,4829,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,31,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,0,2001,2001,,2006,20060101,1/1/2006
934,1997,3,300,Om situatione på sundhedsområdet,0,35,3510,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,30,1,0,0,0,0,99,0,99,1,99,0,0,0,99,0,0,99,1,1,1,1,99,1,99,1,99,1,1,1,99,1,99,99,1,3,0,300,300,,1998,19980301,3/1/1998
1357,2012,12,1202,Hvad kan regeringen oplyse om afpresning af erhvervsdrivende i Danmark?,0,87,870007,0,0,0,999,999,0,999,1,999,999,0,0,999,999,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,1202,,Om afpresning af erhvervsdrivende i Danmark.,2012,20121101,11/1/2012
1216,2002,20,2011,"Hvad kan statsministeren oplyse om, i hvilket omfang finansministeren har overholdt landbrugslovene, reglerne vedrørende sommerhuse og andre love i perioden fra og med 1997 til i dag",0,41,4118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,33,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,10,0,2011,2011,,2002,20021001,10/1/2002
1327,2011,19,1906,Vil ministeren redegøre for regeringens holdning til indførelsen af en skat på finansielle transaktioner – herunder for regeringens holdning til Kommissionens forslag om dette?,1,86,860019,0,0,0,999,999,0,999,0,999,999,0,1,999,999,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1906,,Om skat på finansielle transaktioner (hasteforespørgsel).,2012,20120201,2/1/2012
1358,2012,5,529,"Hvordan vil regeringen sikre, at arbejdet på den danske del af den kommende Femern Bælt-forbindelse sker efter danske løn- og ansættelsesvilkår, dvs. efter danske overenskomster, og vil regeringen udbrede det til andre områder?",0,87,870008,0,0,0,999,999,0,999,1,999,999,0,0,999,999,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,529,,Om dansk arbejdskraft på Femern Bælt-forbindelsen.,2012,20121101,11/1/2012
629,1991,1,105,Om afvikling af statens gæld,0,28,2820,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,23,2,0,0,0,0,99,0,99,99,99,0,0,99,99,1,0,99,2,2,2,2,99,2,99,99,99,2,2,99,99,1,99,99,1,1,0,105,105,,1992,19920101,1/1/1992
1428,2003,1,100,Om Velfærdskommissionen,0,45,4518,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,33,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,10,0,100,100,,2003,20031001,10/1/2003
627,1991,19,1902,Om forberedelser til Rio konferencen,0,28,2818,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,59,1,1,1,1,0,99,1,99,99,99,1,1,99,99,0,0,99,1,1,1,1,99,1,99,99,99,1,1,99,99,2,99,99,1,1,0,1902,1902,,1992,19920101,1/1/1992
1429,2003,3,342,Om alkoholkulturen,0,45,4519,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,31,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,10,0,342,342,,2003,20031001,10/1/2003
